Industry,Symbol
Leisure,0635.HK
Integrated Freight & Logistics,0636.HK
Other Industrial Metals & Mining,0637.HK
Consumer Electronics,0638.HK
Coking Coal,0639.HK
Specialty Chemicals,0640.HK
Specialty Industrial Machinery,0641.HK
Apparel Manufacturing,0643.HK
Thermal Coal,0645.HK
Waste Management,0646.HK
Semiconductor Equipment & Materials,0650.HK
Specialty Industrial Machinery,0651.HK
Specialty Retail,0653.HK
Real Estate Services,0655.HK
Conglomerates,0656.HK
Restaurants,0657.HK
Engineering & Construction,0659.HK
Chemicals,0660.HK
Copper,0661.HK
Insurance—Life,0662.HK
Conglomerates,0663.HK
Capital Markets,0665.HK
Education & Training Services,0667.HK
Credit Services,0668.HK
Tools & Accessories,0669.HK
Airlines,0670.HK
Real Estate—Diversified,0672.HK
Medical Distribution,0673.HK
Real Estate Services,0674.HK
Electronic Components,0675.HK
Footwear & Accessories,0676.HK
Food Distribution,0677.HK
Specialty Industrial Machinery,0679.HK
Entertainment,0680.HK
Utilities—Regulated Gas,0681.HK
Farm Products,0682.HK
Real Estate—Development,0683.HK
"Furnishings, Fixtures & Appliances",0684.HK
Publishing,0685.HK
Utilities—Renewable,0686.HK
Engineering & Construction,0687.HK
Real Estate—Development,0688.HK
Conglomerates,0689.HK
Biotechnology,0690.HK
Building Materials,0691.HK
Auto & Truck Dealerships,0693.HK
Airports & Air Services,0694.HK
Building Materials,0695.HK
Information Technology Services,0696.HK
Infrastructure Operations,0697.HK
Electronic Components,0698.HK
Internet Content & Information,0700.HK
Specialty Chemicals,0701.HK
Thermal Coal,0702.HK
Restaurants,0703.HK
Thermal Coal,0704.HK
Textile Manufacturing,0707.HK
Medical Care Facilities,0708.HK
Apparel Retail,0709.HK
Electronic Components,0710.HK
Engineering & Construction,0711.HK
Solar,0712.HK
Building Products & Equipment,0713.HK
Real Estate Services,0715.HK
Packaging & Containers,0716.HK
Capital Markets,0717.HK
Medical Distribution,0718.HK
Drug Manufacturers—Specialty & Generic,0719.HK
Real Estate Services,0720.HK
Asset Management,0721.HK
Medical Care Facilities,0722.HK
Lumber & Wood Production,0723.HK
Electrical Equipment & Parts,0724.HK
Electrical Equipment & Parts,0725.HK
Real Estate—Development,0726.HK
Real Estate Services,0727.HK
Telecom Services,0728.HK
Credit Services,0730.HK
Paper & Paper Products,0731.HK
Electronic Components,0732.HK
Real Estate Services,0733.HK
Credit Services,0736.HK
Infrastructure Operations,0737.HK
Footwear & Accessories,0738.HK
Building Materials,0743.HK
Advertising Agencies,0745.HK
Chemicals,0746.HK
Real Estate—Development,0747.HK
Solar,0750.HK
Consumer Electronics,0751.HK
Specialty Business Services,0752.HK
Airlines,0753.HK
Real Estate—Development,0754.HK
Real Estate—Development,0755.HK
Beverages—Non-Alcoholic,0756.HK
Solar,0757.HK
Other Industrial Metals & Mining,0758.HK
Grocery Stores,0759.HK
Real Estate—Development,0760.HK
Telecom Services,0762.HK
Communication Equipment,0763.HK
Credit Services,0764.HK
Leisure,0765.HK
Credit Services,0767.HK
Asset Management,0768.HK
Other Industrial Metals & Mining,0769.HK
Asset Management,0770.HK
Information Technology Services,0771.HK
Internet Content & Information,0772.HK
Biotechnology,0775.HK
"Furnishings, Fixtures & Appliances",0776.HK
Electronic Gaming & Multimedia,0777.HK
REIT—Retail,0778.HK
Travel Services,0780.HK
Engineering & Construction,0784.HK
Telecom Services,0788.HK
Luxury Goods,0789.HK
Paper & Paper Products,0794.HK
Electronic Gaming & Multimedia,0797.HK
Real Estate Services,0798.HK
Electronic Gaming & Multimedia,0799.HK
Conglomerates,0800.HK
Software—Application,0802.HK
Capital Markets,0804.HK
Asset Management,0806.HK
Utilities—Regulated Water,0807.HK
REIT—Diversified,0808.HK
Packaged Foods,0809.HK
Asset Management,0810.HK
Publishing,0811.HK
Capital Markets,0812.HK
Real Estate—Development,0813.HK
Specialty Retail,0814.HK
Other Precious Metals & Mining,0815.HK
Real Estate Services,0816.HK
Real Estate—Development,0817.HK
Software—Infrastructure,0818.HK
Auto Parts,0819.HK
Capital Markets,0821.HK
Metal Fabrication,0822.HK
REIT—Retail,0823.HK
Department Stores,0825.HK
Steel,0826.HK
Chemicals,0827.HK
Beverages—Wineries & Distilleries,0828.HK
Packaged Foods,0829.HK
Engineering & Construction,0830.HK
Grocery Stores,0831.HK
Real Estate—Development,0832.HK
Electronic Components,0833.HK
Packaged Foods,0834.HK
Utilities—Independent Power Producers,0836.HK
"Furnishings, Fixtures & Appliances",0837.HK
Metal Fabrication,0838.HK
Education & Training Services,0839.HK
Farm & Heavy Construction Machinery,0840.HK
Packaged Foods,0841.HK
Electrical Equipment & Parts,0842.HK
Apparel Manufacturing,0844.HK
Real Estate—Development,0845.HK
Real Estate—Development,0846.HK
Department Stores,0848.HK
Capital Markets,0851.HK
Oil & Gas Refining & Marketing,0852.HK
Medical Devices,0853.HK
Electronics & Computer Distribution,0854.HK
Utilities—Regulated Water,0855.HK
Electronics & Computer Distribution,0856.HK
Oil & Gas Integrated,0857.HK
Drug Manufacturers—Specialty & Generic,0858.HK
Real Estate Services,0859.HK
Luxury Goods,0860.HK
Information Technology Services,0861.HK
Conglomerates,0862.HK
Software—Application,0863.HK
Real Estate Services,0864.HK
Real Estate—Development,0865.HK
Thermal Coal,0866.HK
Drug Manufacturers—Specialty & Generic,0867.HK
Building Materials,0868.HK
Leisure,0869.HK
Engineering & Construction,0871.HK
Auto Parts,0872.HK
Real Estate Services,0873.HK
Drug Manufacturers—Specialty & Generic,0874.HK
Farm Products,0875.HK
Medical Instruments & Supplies,0876.HK
Real Estate Services,0878.HK
Resorts & Casinos,0880.HK
Auto & Truck Dealerships,0881.HK
Conglomerates,0882.HK
Oil & Gas E&P,0883.HK
Real Estate—Development,0884.HK
Beverages—Wineries & Distilleries,0886.HK
Luxury Goods,0887.HK
Financial Conglomerates,0888.HK
Electronic Components,0889.HK
Steel,0893.HK
Electronic Components,0894.HK
Waste Management,0895.HK
Engineering & Construction,0896.HK
Drug Manufacturers—Specialty & Generic,0897.HK
Real Estate Services,0898.HK
Real Estate—Diversified,0899.HK
Credit Services,0900.HK
Asset Management,0901.HK
Utilities—Independent Power Producers,0902.HK
Farm Products,0904.HK
Asset Management,0905.HK
Packaging & Containers,0906.HK
Medical Instruments & Supplies,0907.HK
Software—Application,0909.HK
Real Estate—Development,0910.HK
Drug Manufacturers—Specialty & Generic,0911.HK
Consumer Electronics,0912.HK
Asset Management,0913.HK
Building Materials,0914.HK
Specialty Retail,0915.HK
Utilities—Renewable,0916.HK
Apparel Manufacturing,0918.HK
Personal Services,0919.HK
"Furnishings, Fixtures & Appliances",0921.HK
Personal Services,0922.HK
Waste Management,0923.HK
Engineering & Construction,0924.HK
Conglomerates,0925.HK
Packaged Foods,0926.HK
Consumer Electronics,0927.HK
Diagnostics & Research,0928.HK
Metal Fabrication,0929.HK
Oil & Gas Refining & Marketing,0931.HK
Packaged Foods,0932.HK
Apparel Manufacturing,0933.HK
Oil & Gas Midstream,0934.HK
Rental & Leasing Services,0936.HK
Real Estate Services,0938.HK
Banks—Diversified,0939.HK
Telecom Services,0941.HK
Household & Personal Products,0943.HK
Insurance—Life,0945.HK
Communication Equipment,0947.HK
Packaged Foods,0948.HK
Drug Manufacturers—Specialty & Generic,0950.HK
Auto Parts,0951.HK
Capital Markets,0952.HK
Entertainment,0953.HK
Chemicals,0954.HK
Utilities—Diversified,0956.HK
Gambling,0959.HK
Real Estate—Development,0960.HK
Insurance—Life,0966.HK
Solar,0968.HK
Confectioners,0969.HK
Auto & Truck Dealerships,0970.HK
Household & Personal Products,0973.HK
Grocery Stores,0974.HK
Coking Coal,0975.HK
Metal Fabrication,0976.HK
Real Estate—Diversified,0978.HK
Waste Management,0979.HK
Department Stores,0980.HK
Semiconductors,0981.HK
Real Estate Services,0982.HK
Real Estate—Development,0983.HK
Department Stores,0984.HK
Coking Coal,0985.HK
Luxury Goods,0986.HK
Utilities—Renewable,0987.HK
Capital Markets,0988.HK
Real Estate—Development,0989.HK
Steel,0990.HK
Utilities—Independent Power Producers,0991.HK
Computer Hardware,0992.HK
Asset Management,0993.HK
Engineering & Construction,0994.HK
Infrastructure Operations,0995.HK
Real Estate—Development,0996.HK
Electronics & Computer Distribution,0997.HK
Banks—Regional,0998.HK
Specialty Chemicals,1000.HK
Industrial Distribution,1001.HK
Specialty Chemicals,1002.HK
Entertainment,1003.HK
Capital Markets,1004.HK
Leisure,1005.HK
Restaurants,1007.HK
Packaging & Containers,1008.HK
Real Estate Services,1009.HK
Airports & Air Services,1010.HK
Drug Manufacturers—Specialty & Generic,1011.HK
Electronics & Computer Distribution,1013.HK
Internet Retail,1020.HK
Electronic Gaming & Multimedia,1022.HK
Footwear & Accessories,1023.HK
Internet Content & Information,1024.HK
Apparel Manufacturing,1025.HK
Utilities—Regulated Water,1026.HK
Footwear & Accessories,1027.HK
Footwear & Accessories,1028.HK
Other Industrial Metals & Mining,1029.HK
Real Estate—Development,1030.HK
Oil & Gas Drilling,1033.HK
Engineering & Construction,1034.HK
Real Estate Services,1036.HK
Information Technology Services,1037.HK
Utilities—Regulated Electric,1038.HK
Internet Retail,1039.HK
Household & Personal Products,1044.HK
Telecom Services,1045.HK
Entertainment,1046.HK
Specialty Chemicals,1047.HK
Department Stores,1049.HK
Metal Fabrication,1050.HK
Asset Management,1051.HK
Infrastructure Operations,1052.HK
Steel,1053.HK
Airlines,1055.HK
Auto Parts,1057.HK
Footwear & Accessories,1058.HK
Information Technology Services,1059.HK
Entertainment,1060.HK
Drug Manufacturers—Specialty & Generic,1061.HK
Conglomerates,1063.HK
Real Estate—Development,1064.HK
Waste Management,1065.HK
Medical Instruments & Supplies,1066.HK
Packaged Foods,1068.HK
Lumber & Wood Production,1069.HK
Consumer Electronics,1070.HK
Utilities—Regulated Electric,1071.HK
Specialty Industrial Machinery,1072.HK
Capital Markets,1073.HK
Information Technology Services,1075.HK
Resorts & Casinos,1076.HK
Computer Hardware,1079.HK
Oil & Gas Equipment & Services,1080.HK
Education & Training Services,1082.HK
Utilities—Regulated Gas,1083.HK
Farm Products,1084.HK
Communication Equipment,1085.HK
Leisure,1086.HK
Communication Equipment,1087.HK
Thermal Coal,1088.HK
Steel,1090.HK
Other Industrial Metals & Mining,1091.HK
Drug Manufacturers—General,1093.HK
Conglomerates,1094.HK
Entertainment,1097.HK
Residential Construction,1098.HK
Medical Distribution,1099.HK
Footwear & Accessories,1100.HK
Oil & Gas E&P,1101.HK
Building Materials,1102.HK
Agricultural Inputs,1103.HK
Capital Markets,1104.HK
Publishing,1105.HK
Real Estate—Development,1107.HK
Building Products & Equipment,1108.HK
Real Estate—Development,1109.HK
Pharmaceutical Retailers,1110.HK
Packaged Foods,1112.HK
Real Estate—Development,1113.HK
Auto Manufacturers,1114.HK
Beverages—Non-Alcoholic,1115.HK
Steel,1116.HK
